Compound Name	HT29_Ctrl1	HT29_Ctrl2	HT29_Ctrl3	HT29_Ctrl4	HT29_Ctrl5	HT29_Met1	HT29_Met2	HT29_Met3	HT29_Met4	HT29_Met5	HT29_Met6
Level	0	0	0	0	0	1	1	1	1	1	1
2-Aminobutyric acid	0.004107511	0.012406843	0.012017567	0.007199393	0.010647674	0.001791829	0.002376068	0.021538892	0.002445829	0.001432819	0.001291346
4-Aminobutyric acid	2.915421138	3.762293678	4.022506977	3.142635764	4.529302374	0.133822731	0.122735079	0.122047631	0.130905752	0.133645042	0.103650073
4-Hydroxyproline	9.365291677	12.71002352	15.09884381	9.465123424	16.83708985	2.146463059	2.638920732	2.66641507	2.239062341	2.105170307	1.710364624
5-Glutamylcysteine	0.107073599	0.13169225	0.166584323	0.156724164	0.190257168	0.037099879	0.038350762	0.044858126	0.034151332	0.040975858	0.040993403
Acetylcarnitine	1.904964435	2.697107127	2.930720952	2.116931409	3.110347417	14.05469664	13.50333423	17.14752309	15.09709935	13.52950383	13.2050129
Acetylcholine	0.000705923	0.000404213	0.001398133	0.000408721	0.000742028	4.82224E-05	0.000303085	0.00059832	0.000386897	0.000619404	0.000514942
Aconitic acid	0.028805367	0.037141637	0.034311588	0.025144852	0.045490426	0.001403263	0.001203026	0.001658858	0.001162384	0.000950854	0.001111887
Adenine	0.777421897	0.953599544	1.033841517	0.828616655	1.325548986	0.406441403	0.645305421	0.559263457	0.450946826	0.417239555	0.589087685
"Adenosine 3',5'-cyclic monophosphate"	0.020600292	0.02690867	0.027931344	0.021466012	0.035702295	0.00737566	0.009566512	0.009835311	0.007446653	0.005410537	0.007425539
Adenosine monophosphate	14.64685875	17.84969179	21.37538506	15.6115289	24.52500409	11.16849697	31.20810725	18.13616924	17.32459954	9.290213871	21.74504207
Adenosine	3.240940231	2.835951598	2.654259091	3.205488214	8.083251461	4.6370257	14.74749292	7.905281959	6.219701334	5.48338518	13.57424349
Adenylsuccinic acid	0.072631072	0.062820152	0.112133263	0.037911268	0.127217916	0.010872826	0.057824616	0.022815168	0.018806612	0.012919368	0.028915577
Alanine	0.266420225	0.364507073	0.462372296	0.244849229	0.427161769	0.172349931	0.198855945	0.189195819	0.153285991	0.15142116	0.103705182
Allantoin	0.008372942	0.009598094	0.010664431	0.007449214	0.011290075	0.004139158	0.003551695	0.004084324	0.00395251	0.003979387	0.004667706
Arginine	13.98741689	17.99179269	21.09369015	13.29686051	22.33025038	6.785897248	7.175725805	5.395369926	6.377797422	5.595785933	4.557525146
Argininosuccinic acid	0.051190798	0.063504203	0.082123239	0.045037924	0.072033762	0.0038479	0.004801593	0.001847546	0.004045902	0.003026901	0.002629183
Asparagine	1.97668855	2.6043262	3.053326513	2.017592364	3.319956922	0.523248752	0.663592772	0.697954132	0.556069373	0.541572371	0.485165202
